period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,consumption-for-eg-btu,consumption-for-eg-btu-units,generation,generation-units,total-consumption-btu,total-consumption-btu-units,year
2010-01-01,NEW,New England,98,Electric Power,BIT,bituminous coal,14.02054,million MMBtu,1414.14671,thousand megawatthours,14.35826,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,WWW,wood and wood wastes,4.05696,million MMBtu,309.26226,thousand megawatthours,4.65863,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,OTH,other,2.22837,million MMBtu,129.66714,thousand megawatthours,2.41654,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,PET,petroleum,0.47379,million MMBtu,30.80989,thousand megawatthours,0.48737,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,REN,renewable,13.80696,million MMBtu,1174.2542,thousand megawatthours,14.41456,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,RFO,residual fuel oil,0.28163,million MMBtu,16.59679,thousand megawatthours,0.29391,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,PEL,petroleum liquids,0.47379,million MMBtu,30.80989,thousand megawatthours,0.48737,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,MLG,municiapl landfill gas,2.93537,million MMBtu,166.34485,thousand megawatthours,2.93537,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,MSB,biogenic municipal solid waste,2.52454,million MMBtu,135.54458,thousand megawatthours,2.52454,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,NG,natural gas,31.28897,million MMBtu,4164.08136,thousand megawatthours,31.41273,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,COL,"coal, excluding waste coal",16.36839,million MMBtu,1639.5204,thousand megawatthours,16.7061,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,COW,all coal products,16.36839,million MMBtu,1639.5204,thousand megawatthours,16.7061,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,DFO,distillate fuel oil,0.16015,million MMBtu,11.71513,thousand megawatthours,0.16145,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,HYC,conventional hydroelectric,6.35742,million MMBtu,651.64143,thousand megawatthours,6.35742,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,LFG,landfill gas,0.41083,million MMBtu,30.80027,thousand megawatthours,0.41083,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,NGO,natural gas & other gases,31.28897,million MMBtu,4164.08136,thousand megawatthours,31.41273,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,FOS,fossil fuels,48.13115,million MMBtu,5834.41164,thousand megawatthours,48.6062,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,OB2,biomass (OB2),0.0015,million MMBtu,0.29403,thousand megawatthours,0.00742,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,ORW,other renewables,0.0015,million MMBtu,0.29403,thousand megawatthours,0.00742,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,SUN,solar,0.0,million MMBtu,0.0,thousand megawatthours,0.0,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,SUB,subbituminous coal,2.34784,million MMBtu,225.37369,thousand megawatthours,2.34784,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,SPV,solar photovoltaic,0.0,million MMBtu,0.0,thousand megawatthours,0.0,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,WOO,waste oil and other oils,0.03201,million MMBtu,2.49797,thousand megawatthours,0.03201,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,NUC,nuclear,34.45386,million MMBtu,3296.389,thousand megawatthours,34.45386,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,WND,wind,0.45572,million MMBtu,46.71163,thousand megawatthours,0.45572,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,WNT,onshore wind turbine,0.45572,million MMBtu,46.71163,thousand megawatthours,0.45572,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,BIS,bituminous coal and synthetic coal,14.02054,million MMBtu,1414.14671,thousand megawatthours,14.35826,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,BIO,biomass (BIO),6.99383,million MMBtu,475.90114,thousand megawatthours,7.60142,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,AOR,all renewables,7.44955,million MMBtu,522.61277,thousand megawatthours,8.05714,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,ALL,all fuels,98.62033,million MMBtu,10375.91198,thousand megawatthours,99.89116,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,OBW,biomass (OBW),2.52604,million MMBtu,135.83861,thousand megawatthours,2.53197,million MMBtu,2010.0
2010-01-01,NEW,New England,98,Electric Power,WAS,renewable waste products,2.93687,million MMBtu,166.63888,thousand megawatthours,2.94279,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,OB2,biomass (OB2),0.0017,million MMBtu,0.32518,thousand megawatthours,0.00834,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,MLG,municiapl landfill gas,3.0409,million MMBtu,172.88742,thousand megawatthours,3.0409,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,NG,natural gas,25.10065,million MMBtu,3352.92402,thousand megawatthours,25.21065,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,NGO,natural gas & other gases,25.10135,million MMBtu,3352.9696,thousand megawatthours,25.21136,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,NUC,nuclear,32.26193,million MMBtu,3086.675,thousand megawatthours,32.26193,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,LFG,landfill gas,0.41701,million MMBtu,31.47042,thousand megawatthours,0.41701,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,RFO,residual fuel oil,0.38808,million MMBtu,29.92211,thousand megawatthours,0.40296,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,HYC,conventional hydroelectric,5.58049,million MMBtu,572.00613,thousand megawatthours,5.58049,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,COW,all coal products,14.02817,million MMBtu,1400.50755,thousand megawatthours,14.31681,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,DFO,distillate fuel oil,0.10851,million MMBtu,5.64548,thousand megawatthours,0.11011,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,FOS,fossil fuels,39.64801,million MMBtu,4790.70302,thousand megawatthours,40.06312,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,SUN,solar,0.0,million MMBtu,0.0,thousand megawatthours,0.0,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,SUB,subbituminous coal,1.44788,million MMBtu,135.95074,thousand megawatthours,1.44788,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,BIT,bituminous coal,12.5803,million MMBtu,1264.5568,thousand megawatthours,12.86894,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,COL,"coal, excluding waste coal",14.02817,million MMBtu,1400.50755,thousand megawatthours,14.31681,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,BIS,bituminous coal and synthetic coal,12.5803,million MMBtu,1264.5568,thousand megawatthours,12.86894,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,MSB,biogenic municipal solid waste,2.62389,million MMBtu,141.41699,thousand megawatthours,2.62389,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,PEL,petroleum liquids,0.51848,million MMBtu,37.22588,thousand megawatthours,0.53496,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,PET,petroleum,0.51848,million MMBtu,37.22588,thousand megawatthours,0.53496,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,WND,wind,0.47594,million MMBtu,48.78478,thousand megawatthours,0.47594,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,WNT,onshore wind turbine,0.47594,million MMBtu,48.78478,thousand megawatthours,0.47594,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,WOO,waste oil and other oils,0.02189,million MMBtu,1.65829,thousand megawatthours,0.02189,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,WWW,wood and wood wastes,3.84984,million MMBtu,292.95563,thousand megawatthours,4.47477,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,REN,renewable,12.94887,million MMBtu,1086.95913,thousand megawatthours,13.58044,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,ALL,all fuels,87.17693,million MMBtu,9057.13444,thousand megawatthours,88.41589,million MMBtu,2010.0
2010-02-01,NEW,New England,98,Electric Power,WAS,renewable waste products,3.0426,million MMBtu,173.2126,thousand megawatthours,3.04924,million MMBtu,2010.0
